window_pos,normalized_RF
3260_3360,0.9772727272727273
2840_2940,0.9318181818181818
5170_5270,0.9318181818181818
4050_4150,0.9772727272727273
4750_4850,0.9318181818181818
4940_5040,0.9090909090909091
0_100,0.9318181818181818
930_1030,0.9318181818181818
4520_4620,0.9545454545454546
4290_4390,0.9545454545454546
1960_2060,0.9545454545454546
4060_4160,0.9545454545454546
280_380,0.9318181818181818
1540_1640,0.9318181818181818
4760_4860,0.9318181818181818
2850_2950,0.9318181818181818
3270_3370,0.9772727272727273
5180_5280,0.9318181818181818
4530_4630,0.9545454545454546
4950_5050,0.9090909090909091
10_110,0.9318181818181818
290_390,0.9318181818181818
1550_1650,0.9318181818181818
940_1040,0.9318181818181818
3080_3180,0.9545454545454546
3090_3190,0.9318181818181818
2860_2960,0.9318181818181818
4770_4870,0.9318181818181818
4960_5060,0.9090909090909091
1560_1660,0.9545454545454546
3100_3200,0.9318181818181818
20_120,0.9090909090909091
2870_2970,0.9090909090909091
4780_4880,0.9318181818181818
4970_5070,0.9090909090909091
3110_3210,0.9318181818181818
4790_4890,0.9090909090909091
30_130,0.9318181818181818
2880_2980,0.9090909090909091
1570_1670,0.9545454545454546
4980_5080,0.9090909090909091
1580_1680,0.9318181818181818
3540_3640,0.9545454545454546
4470_4570,0.9318181818181818
40_140,0.9545454545454546
510_610,0.9090909090909091
1720_1820,0.9318181818181818
700_800,0.9090909090909091
1120_1220,0.9318181818181818
4240_4340,0.9545454545454546
4710_4810,0.9318181818181818
2100_2200,0.9545454545454546
5410_5510,0.9318181818181818
140_240,0.9090909090909091
2380_2480,0.9545454545454546
520_620,0.8863636363636364
4480_4580,0.9090909090909091
1730_1830,0.9318181818181818
4250_4350,0.9545454545454546
150_250,0.9318181818181818
1130_1230,0.9318181818181818
3550_3650,0.9545454545454546
710_810,0.9318181818181818
2390_2490,0.9545454545454546
1970_2070,0.9545454545454546
4720_4820,0.9318181818181818
2110_2210,0.9545454545454546
5420_5520,0.9090909090909091
4070_4170,0.9545454545454546
4490_4590,0.9318181818181818
1740_1840,0.9318181818181818
530_630,0.8863636363636364
950_1050,0.9090909090909091
5190_5290,0.9318181818181818
3560_3660,0.9545454545454546
4260_4360,0.9545454545454546
720_820,0.9090909090909091
1140_1240,0.9318181818181818
160_260,0.9090909090909091
